172.31.3.121,172.31.1.6,DNS,320,Standard query response 0xeabf A e6428.e9.akamaiedge.net A 23.65.39.65 NS m.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net
172.31.130.115,172.31.1.6,DNS,78,Standard query 0x6a95 A graph.facebook.com
8.8.8.8,172.31.3.121,DNS,126,Standard query response 0x7bc8 A a1406.dspw42.akamai.net A 23.76.156.105 A 23.76.156.89 OPT
172.31.3.121,172.31.1.6,DNS,390,Standard query response 0x9cdd A igcdn-photos-f-a.akamaihd.net.edgesuite.net CNAME a1406.dspw42.akamai.net A 23.76.156.105 A 23.76.156.89 NS m.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x6a58 A a1406.dspw42.akamai.net
172.31.3.121,172.31.1.6,DNS,336,Standard query response 0x6a58 A a1406.dspw42.akamai.net A 23.76.156.89 A 23.76.156.105 NS d.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net
172.31.121.173,172.31.1.6,DNS,73,Standard query 0x2e6b A s.youtube.com
172.31.121.173,172.31.1.6,DNS,97,Standard query 0x8c65 A r5---sn-gxap5ojx-qxae.googlevideo.com
74.82.42.42,172.31.3.121,DNS,110,Standard query response 0x87cd A a1507.b.akamai.net A 104.86.110.59 A 104.86.110.89
74.82.42.42,172.31.3.121,DNS,139,Standard query response 0x28a2 A dellupdater.dell.com.edgekey.net CNAME e28.g.akamaiedge.net A 23.195.11.54
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0x7766 A a1507.b.akamai.net A 104.86.110.89 A 104.86.110.59 NS l.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x0a64 A officecdn.microsoft.com
208.67.222.222,172.31.3.121,DNS,231,Standard query response 0x4714 A licensing-europe.md.mp.microsoft.com.akadns.net CNAME licensing-europe-golive.md.mp.microsoft.com.akadns.net CNAME licensing-useast.md.mp.microsoft.com.akadns.net CNAME bn2.licensing.md.mp.microsoft.com.akadns.net A 65.52.108.33 OPT
