172.31.131.214,172.31.1.6,DNS,87,Standard query 0x1982 A extensions.mysmartprice.com
172.31.131.214,172.31.1.6,DNS,87,Standard query 0x4a63 A extensions.mysmartprice.com
172.31.131.214,172.31.1.6,DNS,86,Standard query 0x8dfb A android.clients.google.com
172.31.131.214,172.31.1.6,DNS,86,Standard query 0x4b15 A android.clients.google.com
209.244.0.3,172.31.3.121,DNS,144,Standard query response 0x731d DS tbcache.com SOA a.gtld-servers.net
172.31.170.70,172.31.1.6,DNS,72,Standard query 0x8609 A facebook.com
172.31.1.6,172.31.170.70,DNS,88,Standard query response 0x8609 A facebook.com A 31.13.76.68
172.31.170.70,172.31.1.6,DNS,77,Standard query 0xde7c A www.pinterest.com
172.31.1.6,172.31.170.70,DNS,169,Standard query response 0xde7c A www.pinterest.com CNAME www.pinterest.com.edgekey.net CNAME e9343.a.akamaiedge.net A 104.82.210.251
172.31.131.214,172.31.1.6,DNS,79,Standard query 0xe78d A in.search.yahoo.com
172.31.146.153,172.31.1.6,DNS,75,Standard query 0x17d0 A q.izercbjs.info
172.31.1.6,172.31.3.121,DNS,75,Standard query 0x93d5 A q.izercbjs.info
172.31.3.121,172.31.1.6,DNS,427,Standard query response 0x93d5 A q.izercbjs.info CNAME q.lesscdn.com CNAME events-collector-1435457350.us-east-1.elb.amazonaws.com A 23.23.232.100 A 54.225.150.140 NS e.root-servers.net NS b.root-servers.net NS g.root-servers.net NS c.root-servers.net NS d.root-servers.net NS j.root-servers.net NS i.root-servers.net NS m.root-servers.net NS l.root-servers.net NS f.root-servers.net NS k.root-servers.net NS h.root-servers.net NS a.root-servers.net A 198.41.0.4
172.31.1.6,172.31.3.121,DNS,73,Standard query 0xc66b A q.lesscdn.com
172.31.3.121,172.31.1.6,DNS,398,Standard query response 0xc66b A q.lesscdn.com CNAME events-collector-1435457350.us-east-1.elb.amazonaws.com A 23.23.232.100 A 54.225.150.140 NS e.root-servers.net NS m.root-servers.net NS g.root-servers.net NS a.root-servers.net NS c.root-servers.net NS d.root-servers.net NS j.root-servers.net NS b.root-servers.net NS i.root-servers.net NS l.root-servers.net NS k.root-servers.net NS f.root-servers.net NS h.root-servers.net A 198.41.0.4
172.31.106.211,172.31.1.6,DNS,75,Standard query 0x3a8f A api.dropbox.com
172.31.131.214,172.31.1.6,DNS,79,Standard query 0x0b21 A in.search.yahoo.com
172.31.131.214,172.31.1.6,DNS,76,Standard query 0xe979 A mtalk.google.com
172.31.126.0,172.31.1.6,DNS,143,Standard query 0xef32 A b-0.19-a3000408.1481.16a8.ab2.3ea4.410.0.k62ajnizstv7re1wzudlh5k6z6.avts.mcafee.com
172.31.170.70,172.31.1.6,DNS,71,Standard query 0xa986 A twitter.com
172.31.1.6,172.31.3.121,DNS,71,Standard query 0x07fe A twitter.com
172.31.169.6,172.31.1.6,DNS,87,Standard query 0x1572 A googleads.g.doubleclick.net
172.31.1.6,172.31.169.6,DNS,128,Standard query response 0x1572 A googleads.g.doubleclick.net CNAME pagead46.l.doubleclick.net A 216.58.197.34
172.31.149.26,172.31.1.6,DNS,76,Standard query 0x1d92 A log.kmplayer.com
208.67.220.220,172.31.3.121,DNS,159,Standard query response 0x14c8 DS adduplex.com SOA a.gtld-servers.net OPT
8.8.8.8,172.31.3.121,DNS,500,Standard query response 0x99c4 DS amung.us SOA a.cctld.us RRSIG NSEC AMUNGS.us RRSIG OPT
172.31.131.214,172.31.1.6,DNS,76,Standard query 0x88b8 A mtalk.google.com
172.31.3.121,172.31.1.6,DNS,210,Standard query response 0xfbdb A widgets.amung.us A 173.192.200.70 A 50.23.131.235 NS c.cctld.us NS b.cctld.us NS a.cctld.us NS k.cctld.us NS e.cctld.us NS f.cctld.us
8.8.4.4,172.31.3.121,DNS,110,Standard query response 0xb056 A e2799.e7.akamaiedge.net A 23.211.227.88 OPT
172.31.1.6,172.31.139.45,DNS,108,Standard query response 0x8372 A widgets.amung.us A 173.192.200.70 A 50.23.131.235
172.31.1.6,172.31.139.45,DNS,108,Standard query response 0x8372 A widgets.amung.us A 173.192.200.70 A 50.23.131.235
