172.31.170.41,172.31.1.6,DNS,90,Standard query 0xc807 A watson.telemetry.microsoft.com
172.31.1.6,172.31.170.41,DNS,160,Standard query response 0xc807 A watson.telemetry.microsoft.com CNAME watson.telemetry.microsoft.com.nsatc.net A 65.55.252.43
209.244.0.4,172.31.3.121,DNS,245,Standard query response 0xc1eb A push.parse.com A 54.85.237.146 A 54.85.227.147 A 54.85.230.182 A 54.85.235.64 A 54.85.225.186 A 54.85.237.80 A 54.85.237.34 A 54.85.237.206 A 54.85.231.27 A 54.85.237.58 OPT
172.31.3.121,172.31.1.6,DNS,458,Standard query response 0xc439 A push.parse.com A 54.85.237.80 A 54.85.227.147 A 54.85.237.58 A 54.85.237.34 A 54.85.237.146 A 54.85.225.186 A 54.85.235.64 A 54.85.237.206 A 54.85.230.182 A 54.85.231.27 NS m.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net
172.31.122.52,172.31.1.6,DNS,82,Standard query 0xce8d A vodhls-vh.akamaihd.net
172.31.1.6,172.31.3.121,DNS,78,Standard query 0xdf85 A a24.w10.akamai.net
172.31.131.117,172.31.1.6,DNS,78,Standard query 0x729b A graph.facebook.com
172.31.1.8,172.31.167.195,DNS,128,Standard query response 0xcf2f A www.googleapis.com CNAME googleapis.l.google.com A 216.58.196.106
209.244.0.4,172.31.3.121,DNS,263,Standard query response 0x6d28 A dualstack.5rocks-server-lb-471850758.us-east-1.elb.amazonaws.com A 50.19.85.151 A 54.225.166.227 A 54.197.242.45 A 107.22.183.4 A 54.225.155.150 A 50.19.228.45 A 54.225.210.58 A 54.243.159.71 OPT
172.31.1.6,172.31.60.249,DNS,182,Standard query response 0xb83d A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 195.219.16.162 A 195.219.16.144
172.31.1.8,172.31.167.195,DNS,212,Standard query response 0x223c A suggestqueries.google.com CNAME suggestqueries.l.google.com A 74.125.68.101 A 74.125.68.138 A 74.125.68.113 A 74.125.68.139 A 74.125.68.102 A 74.125.68.100
172.31.1.8,172.31.167.195,DNS,128,Standard query response 0xacd7 A www.googleapis.com CNAME googleapis.l.google.com A 216.58.196.106
172.31.3.121,172.31.1.6,DNS,476,Standard query response 0x9465 A dualstack.5rocks-server-lb-471850758.us-east-1.elb.amazonaws.com A 50.19.228.45 A 54.197.242.45 A 54.243.159.71 A 107.22.183.4 A 54.225.210.58 A 50.19.85.151 A 54.225.155.150 A 54.225.166.227 NS c.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net
