172.31.3.121,172.31.1.6,DNS,343,Standard query response 0x6a33 A clients6.google.com CNAME clients.l.google.com A 216.58.208.238 NS a.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net
4.2.2.4,172.31.3.121,DNS,265,Standard query response 0xe27c A 100.0.21.7.0.rst14.r.skype.net CNAME rstwh.skype-cr.akadns.net A 91.190.219.46 A 91.190.218.55 A 91.190.218.62 A 91.190.219.45 A 91.190.218.51 A 91.190.219.38 A 91.190.218.66 A 91.190.218.64 OPT
172.31.3.121,172.31.1.6,DNS,475,Standard query response 0x5c5f A 100.0.21.7.0.rst14.r.skype.net CNAME rstwh.skype-cr.akadns.net A 91.190.218.62 A 91.190.218.56 A 91.190.219.42 A 91.190.218.65 A 91.190.219.43 A 91.190.218.55 A 91.190.218.60 A 91.190.218.53 NS j.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net
4.2.2.4,172.31.3.121,DNS,148,Standard query response 0x4865 A r7---sn-vgqsenes.googlevideo.com CNAME r7.sn-vgqsenes.googlevideo.com A 173.194.134.140 OPT
172.31.170.77,172.31.1.6,DNS,76,Standard query 0xd9e0 A five6.nydwhwi.ru
172.31.121.175,172.31.1.6,DNS,90,Standard query 0xcd94 A external.fbom1-1.fna.fbcdn.net
172.31.121.175,172.31.1.6,DNS,83,Standard query 0x6c79 A fbstatic-a.akamaihd.net
172.31.122.169,172.31.1.6,DNS,74,Standard query 0xf7ae A www.google.com
172.31.121.175,172.31.1.6,DNS,90,Standard query 0xbd5d A scontent.fbom1-1.fna.fbcdn.net
172.31.121.175,172.31.1.6,DNS,79,Standard query 0xb21d A static.xx.fbcdn.net
172.31.1.6,172.31.3.121,DNS,79,Standard query 0x6ea9 A track.appsflyer.com
208.67.222.123,172.31.3.121,DNS,158,Standard query response 0xd2ed DS zendesk.com SOA a.gtld-servers.net OPT
208.67.222.222,172.31.3.121,DNS,157,Standard query response 0xa196 DS disqus.com SOA a.gtld-servers.net OPT
172.31.128.192,172.31.1.6,DNS,77,Standard query 0x3621 A i.l.inmobicdn.net
4.2.2.2,172.31.3.121,DNS,575,Standard query response 0xeda3 DS 179.122.in-addr.arpa SOA ns1.apnic.net RRSIG NSEC 0.18.122.in-addr.arpa RRSIG OPT
172.31.3.121,172.31.1.6,DNS,262,Standard query response 0xef4e PTR 121.68.179.122.in-addr.arpa PTR abts-kk-dynamic-121.68.179.122.airtelbroadband.in NS e.in-addr-servers.arpa NS b.in-addr-servers.arpa NS a.in-addr-servers.arpa NS d.in-addr-servers.arpa NS f.in-addr-servers.arpa NS c.in-addr-servers.arpa
172.31.1.8,172.31.166.128,DNS,136,Standard query response 0x7a50 A graph.facebook.com CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.91.2
172.31.144.242,172.31.1.6,DNS,74,Standard query 0xb235 A www.google.com
172.31.1.6,172.31.139.66,DNS,126,Standard query response 0xac0e A android.clients.google.com CNAME android.l.google.com A 216.58.197.78
4.2.2.4,172.31.3.121,DNS,175,Standard query response 0xaf5d AAAA content.jwplatform.com SOA ns-1211.awsdns-23.org OPT
172.31.144.242,172.31.1.6,DNS,89,Standard query 0xf299 A apidata.googleusercontent.com
4.2.2.4,172.31.3.121,DNS,181,Standard query response 0x3127 AAAA d3bfhz8j7i21uk.cloudfront.net SOA ns-157.awsdns-19.com OPT
172.31.1.6,172.31.3.121,DNS,89,Standard query 0x5441 A apidata.googleusercontent.com
172.31.3.121,172.31.1.6,DNS,170,Standard query response 0x2f37 AAAA d3bfhz8j7i21uk.cloudfront.net SOA ns-157.awsdns-19.com
172.31.1.6,172.31.204.247,DNS,152,Standard query response 0x03b4 AAAA xtrapath2.izatcloud.net CNAME xp2.gpsonextra.net CNAME d3bfhz8j7i21uk.cloudfront.net
172.31.1.6,172.31.139.237,DNS,142,Standard query response 0x4fb1 A apiv2.moengage.com A 52.0.190.109 A 52.20.102.145 A 54.209.143.199 A 54.174.145.104
4.2.2.4,172.31.3.121,DNS,123,Standard query response 0x1d47 A www.howlifeworks.com A 54.191.26.255 A 54.69.100.254 OPT
172.31.122.169,172.31.1.6,DNS,79,Standard query 0xb8ca A accounts.google.com
172.31.1.6,172.31.3.121,DNS,79,Standard query 0xf23c A accounts.google.com
