4.2.2.2,172.31.3.121,DNS,119,Standard query response 0x2cb3 A pagead-googlehosted.l.google.com A 216.58.197.65 OPT
172.31.3.121,172.31.1.6,DNS,332,Standard query response 0x62f9 A pagead-googlehosted.l.google.com A 216.58.197.65 NS c.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net
172.31.131.214,172.31.1.6,DNS,84,Standard query 0x97b3 A translate.googleapis.com
172.31.1.6,172.31.3.121,DNS,89,Standard query 0x6614 A ocos-office365-s2s.msedge.net
119.81.212.83,172.31.165.118,TCP,66,"53  >  50192 [SYN, ACK] Seq=0 Ack=1 Win=2920 Len=0 MSS=1412 SACK_PERM=1 WS=8192"
4.2.2.2,172.31.3.121,DNS,110,Standard query response 0x92d3 A atlas.c10r.facebook.com A 179.60.192.10 OPT
172.31.3.121,172.31.1.6,DNS,323,Standard query response 0xc7cc A atlas.c10r.facebook.com A 179.60.192.10 NS k.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net
172.31.107.41,172.31.1.6,DNS,91,Standard query 0xd066 A clientupdates.dropboxstatic.com
172.31.131.165,172.31.1.6,DNS,73,Standard query 0xc721 A yt3.ggpht.com
172.31.151.1,172.31.1.6,DNS,78,Standard query 0x251b A up.cm.ksmobile.com
172.31.1.6,172.31.3.121,DNS,143,Standard query 0x1f0c A 1k-0.19-20000000.900.16a8.aa2.3ea5.410.0.e5t8in6gp2tadvzua64gws9aa5.avts.mcafee.com
