208.67.222.222,172.31.138.58,DNS,136,Standard query response 0xe7da A serveraddr.serviceweb.kugou.com CNAME kgnop.hongkong.kugou.com A 103.243.94.140
172.31.106.200,172.31.1.6,DNS,83,Standard query 0xce4d A stats.g.doubleclick.net
172.31.147.117,172.31.1.6,DNS,74,Standard query 0x2a48 A 2.pool.ntp.org
172.31.1.6,172.31.3.121,DNS,74,Standard query 0x87b2 A 2.pool.ntp.org
4.2.2.2,172.31.3.121,DNS,168,Standard query response 0x5457 A cdn.wittyfeed.com A 104.16.120.108 A 104.16.123.108 A 104.16.122.108 A 104.16.121.108 A 104.16.119.108 OPT
172.31.1.6,172.31.3.121,DNS,86,Standard query 0xf152 A www.shaadi.com.edgekey.net
172.31.3.121,172.31.1.6,DNS,381,Standard query response 0x1808 A cdn.wittyfeed.com A 104.16.120.108 A 104.16.122.108 A 104.16.119.108 A 104.16.123.108 A 104.16.121.108 NS h.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS g.gtld-servers.net
8.8.8.8,172.31.3.121,DNS,681,Standard query response 0xf3e3 No such name AAAA SAURAV SOA a.root-servers.net RRSIG NSEC aaa RRSIG NSEC saxo RRSIG OPT
172.31.3.121,172.31.1.6,DNS,141,Standard query response 0x3a12 No such name AAAA SAURAV SOA a.root-servers.net
4.2.2.2,172.31.3.121,DNS,169,Standard query response 0x4e09 A rc-delivery-production-1999456496.ap-southeast-2.elb.amazonaws.com A 52.63.73.239 A 52.62.94.97 OPT
172.31.3.121,172.31.1.6,DNS,382,Standard query response 0xdc00 A rc-delivery-production-1999456496.ap-southeast-2.elb.amazonaws.com A 52.62.94.97 A 52.63.73.239 NS h.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net
4.2.2.4,172.31.3.121,DNS,808,Standard query response 0xf48b DS dynamicyield.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.108.104,172.31.1.6,DNS,78,Standard query 0xeb61 A graph.facebook.com
4.2.2.2,172.31.3.121,DNS,108,Standard query response 0x14be A e881.p.akamaiedge.net A 104.82.169.91 OPT
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0x2d31 A e881.p.akamaiedge.net A 104.82.169.91 NS i.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net
4.2.2.2,172.31.3.121,DNS,119,Standard query response 0x69b7 A sync2.navdmp.com A 173.193.172.18 A 184.172.27.204 OPT
172.31.3.121,172.31.1.6,DNS,332,Standard query response 0xc3c7 A sync2.navdmp.com A 173.193.172.18 A 184.172.27.204 NS f.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,109,Standard query 0x0453 A ocos-office365-s2s-msedge-net.e-0009.e-msedge.net
172.31.3.121,172.31.1.6,DNS,360,Standard query response 0x0453 A ocos-office365-s2s-msedge-net.e-0009.e-msedge.net CNAME e-0009.e-msedge.net A 13.107.5.88 NS b.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net
